step,total,ranking,flops_q,flops_d,lambda
100,163.47747802734375,163.4751434326172,71.93278503417969,161.04762268066406,1e-05
200,51.945777893066406,51.94294738769531,44.793922424316406,96.62902069091797,2e-05
300,56.30414962768555,56.30046081542969,40.788265228271484,82.11277770996094,3e-05
400,23.466367721557617,23.461597442626953,41.17456817626953,78.08328247070312,4e-05
500,38.18568420410156,38.179290771484375,43.82643127441406,84.0510025024414,5e-05
600,20.47742462158203,20.469833374023438,45.51847839355469,80.98542022705078,6e-05
700,32.55680847167969,32.54820251464844,44.695159912109375,78.24534606933594,7.000000000000001e-05
800,25.68315315246582,25.673856735229492,42.66790008544922,73.53067016601562,8e-05
900,28.592296600341797,28.580589294433594,44.90744400024414,85.16368103027344,8.999999999999999e-05
1000,16.98320960998535,16.970216751098633,45.80034637451172,84.12946319580078,0.0001
1100,19.43587303161621,19.422300338745117,44.842716217041016,78.54161834716797,0.00011
1200,23.405595779418945,23.390033721923828,43.38414001464844,86.30367279052734,0.00012
1300,28.634469985961914,28.616561889648438,45.630367279052734,92.12983703613281,0.00013000000000000002
1400,20.018354415893555,19.999351501464844,44.10499954223633,91.6396484375,0.00014000000000000001
1500,19.82036590576172,19.799819946289062,44.714195251464844,92.25906372070312,0.00015
1600,21.69965171813965,21.67822265625,42.914405822753906,91.01832580566406,0.00016
1700,32.7052001953125,32.67859649658203,47.140968322753906,109.3519515991211,0.00017
1800,28.054603576660156,28.02662467956543,43.385093688964844,112.05345916748047,0.00017999999999999998
1900,26.675594329833984,26.64981460571289,43.163475036621094,92.52056121826172,0.00019
2000,23.77610969543457,23.747955322265625,42.53923797607422,98.2308578491211,0.0002
2100,13.255484580993652,13.224531173706055,42.629547119140625,104.76611328125,0.00021
2200,15.920292854309082,15.889822006225586,44.04149627685547,94.46351623535156,0.00022
2300,26.487796783447266,26.451927185058594,42.13063049316406,113.82402038574219,0.00023
2400,14.232625961303711,14.199021339416504,42.94033432006836,97.08131408691406,0.00024
2500,69.37584686279297,69.33331298828125,44.00166320800781,126.11722564697266,0.00025
2600,14.809876441955566,14.765583038330078,43.236759185791016,127.11994171142578,0.00026000000000000003
2700,22.25890350341797,22.21757698059082,44.01693344116211,109.0465087890625,0.00027
2800,19.244709014892578,19.205039978027344,43.49878692626953,98.17665100097656,0.00028000000000000003
2900,11.082600593566895,11.040745735168457,43.2569580078125,101.06813049316406,0.00029
3000,16.431232452392578,16.386425018310547,42.5728874206543,106.78556823730469,0.0003
3100,18.622604370117188,18.5693302154541,44.04328155517578,127.80813598632812,0.00031
3200,17.19032859802246,17.13066291809082,42.14625930786133,144.3100128173828,0.00032
3300,13.604732513427734,13.545788764953613,41.916446685791016,136.70262145996094,0.00033
3400,12.843953132629395,12.789117813110352,43.84775924682617,117.4346694946289,0.00034
